x (ft),y (ft)
-17.141220256362434,47.017126719133245
-16.385397562229986,51.128395070741966
-16.385397562229986,51.128395070741966
-15.251608235998878,51.16837363307267
-14.191396292008795,49.55880764837294
-12.951796738505408,48.344482708746575
-12.527227959646313,48.310507988200946
-10.521469683084407,45.50381306094777
-8.856195187448725,44.541463746453225
-9.149707502053205,46.88421682524656
-3.131520332017032,18.030988224720556
-2.979336910896461,18.24513213190337
-2.852426959649451,19.797040932419247
-2.1585802629784174,18.178901251781173
-2.197730793565277,18.347624479974282
-1.5497740551244756,18.321620992690722
-1.1909311754100522,18.321286916675966
-0.9984021836166618,19.76254529398522
-0.8088755164509597,19.566299000779782
-0.48824849037983226,19.684130957125827
-0.16825113085226875,19.54909239918113
0.39165325115123156,21.394417163902556
0.8156165495324935,20.258945285901426
1.0852377311183503,19.83159837904297
1.652557332846431,20.1133094481007
1.8666085022465513,20.30182694039592
2.1444376185741816,20.32148516309397
2.779100646089054,21.306198838875797
3.067606870539136,21.41182539942882
3.629984139820746,21.535499710748443
3.629984139820746,21.535499710748443
4.202442221101851,21.670030767528306
4.483687953457566,21.722827498890776
4.777134314097364,20.660292588534052
5.029127131557559,20.63970678498662
5.631669560180634,21.069533164314112
6.069895158554414,20.755726074960815
6.317619320686931,20.67310261603501
6.7035638190152085,20.274256343915702
7.351868888858533,20.806529382113585
7.308408317987003,20.04918434147886
8.520749118722396,21.697673883528022
8.520749118722396,21.697673883528022
9.200258316325181,21.436866329568932
8.681811288933291,19.36533099026156
9.088353639129798,19.25948736499387
10.194722113917168,20.997692303432757
10.380507697124294,20.476319235969033
11.911753959785075,22.372411537237028
12.17435687216028,22.07089927936895
12.560137579448345,21.920739843630518
11.738030539373064,19.771541624948643
12.391958478618406,19.863795735834074
12.809601471453782,19.69492995334697
12.822219016481027,19.10820391225233
13.277143743514765,18.826092178861376
13.726137497657598,19.17254391399869
13.753481393190555,18.577640619485095
16.045458353091927,20.61777661900963
15.862871139097896,19.60909956917754
16.14394452208763,19.423463407855767
16.402837174706487,19.082630872320767
17.105698534062977,18.87811833090439
19.36814465754369,20.518100015044684
19.877269769091214,20.556686893606287
19.793343191022387,20.03832616690042
18.602951899764626,18.077077299616814
18.713373469579466,17.37710510491963
20.723700847359456,18.666141141356352
21.15939577664475,18.30452838907352
19.720947222486167,16.570528433130725
19.602136422907122,15.813676993868484
19.895655628635094,15.547405378182047
22.088704010774,16.64431545370499
22.7351742058429,16.532608491653768
26.262095635244126,17.99665797067774
31.183985359327078,20.547090327274752
29.502604483791046,19.037074859681308
34.4955546342966,21.244959631520064
41.417368792456976,24.885231847471005
40.8729372521945,23.932204735481836
44.53094599293967,25.02511734266484
44.68129526790551,23.93794168519796
47.074906102745565,23.35333080070184
43.083953226494536,20.128559456919408
43.083953226494536,20.128559456919408
44.37182081466099,19.75887175209299
43.11665374958539,18.68985745592599
46.9630717838935,18.709772334883446
46.65112255104043,17.719327456080464
46.604786670594194,16.784186434229735
49.034710115347906,16.904339371953963
17.263316028457034,5.399667968327836
16.818362906329455,4.924412937233632
16.818362906329455,4.924412937233632
17.290590796760263,4.65233998569932
16.800249232874247,4.246144578520507
17.113132805517182,3.3821059051126627
17.113132805517182,3.3821059051126627
17.113132805517182,3.3821059051126627
18.00264874572997,3.1046847460875746
17.396115861583663,2.4035829199748036
16.8892824176442,2.2827049915548865
17.438839684563877,2.2009047038743694
18.272967230004124,1.8728180060210962
18.272967230004124,1.8728180060210962
17.373552161051133,1.295724459720512
18.27781455743634,1.0576886427278593
18.214156889093598,0.6611855815050267
18.339759215662795,0.04894664256634085
18.339759215662795,0.04894664256634085
18.295949049326286,-0.3880502048728927
18.295949049326286,-0.3880502048728927
18.200721153285603,-1.1336135030835373
18.939315310560186,-1.440359523529415
18.73184172702512,-1.7809860260492896
18.157695698580717,-1.9473020755680726
47.85299997468618,-5.889812738287225
47.412145511267255,-6.1935473930514116
46.477552325670324,-7.154226744770965
49.5237831047644,-8.618231022965372
47.7242964562895,-9.396776235590265
49.35650654679264,-10.2201763981587
49.05600861175239,-11.303348278372319
47.67770328401544,-11.554218245502083
51.913476092153196,-12.698181510180241
50.27785281079736,-14.380311031661273
57.28581169896926,-17.014830907902343
45.668314168170404,-14.727362375184656
45.78747693118396,-15.597742469485079
