x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
112.2219619,2.045695538,,1271,50th_male,mid,mid
110.1814108,1.853569554,,1271,50th_male,mid,mid
107.2579987,1.525846457,,1271,50th_male,mid,mid
103.5967159,1.182936352,,1271,50th_male,mid,mid
99.36209974,0.78632874,,1271,50th_male,mid,mid
95.46520669,0.421351706,,1271,50th_male,mid,mid
92.56466864,0.149691601,,1271,50th_male,mid,mid
91.18057087,0.020059055,,1271,50th_male,mid,mid
90.5042126,-0.043290682,,1271,50th_male,mid,mid
87.89792651,-0.287388451,,1271,50th_male,mid,mid
84.84755249,-0.57308399,,1271,50th_male,mid,mid
82.55824147,-0.787496719,,1271,50th_male,mid,mid
80.92226378,-0.901335302,,1271,50th_male,mid,mid
77.35072178,-1.237614829,,1271,50th_male,mid,mid
73.64359908,-1.550889108,,1271,50th_male,mid,mid
71.92299541,-1.713746719,,1271,50th_male,mid,mid
71.50560039,-1.753254593,,1271,50th_male,mid,mid
70.28263123,-1.869012467,,1271,50th_male,mid,mid
68.71710302,-2.017191601,,1271,50th_male,mid,mid
67.22139108,-2.158763123,,1271,50th_male,mid,mid
65.09889108,-2.359662073,,1271,50th_male,mid,mid
63.10942913,-2.54796916,,1271,50th_male,mid,mid
61.24096129,-2.724822835,,1271,50th_male,mid,mid
60.05713911,-2.83687664,,1271,50th_male,mid,mid
59.48268373,-2.89125,,1271,50th_male,mid,mid
58.36707021,-2.996843832,,1271,50th_male,mid,mid
57.29363189,-3.070797244,,1271,50th_male,mid,mid
56.2600689,-3.142004593,,1271,50th_male,mid,mid
54.06931759,-3.325495407,,1271,50th_male,mid,mid
40.67443898,-20.32103675,,1271,50th_male,mid,mid
40.67443898,-20.32103675,,1271,50th_male,mid,mid
40.67443898,-20.20468504,,1271,50th_male,mid,mid
40.54534449,-20.14620407,,1271,50th_male,mid,mid
40.54534449,-20.0882185,,1271,50th_male,mid,mid
40.54534449,-20.06889108,,1271,50th_male,mid,mid
40.54534449,-19.99157808,,1271,50th_male,mid,mid
40.41711286,-19.95326115,,1271,50th_male,mid,mid
40.41711286,-19.91473097,,1271,50th_male,mid,mid
40.16315617,-19.68598753,,1271,50th_male,mid,mid
40.16315617,-19.64771325,,1271,50th_male,mid,mid
40.03741798,-19.5536647,,1271,50th_male,mid,mid
40.03741798,-19.4773622,,1271,50th_male,mid,mid
39.91250656,-19.36515748,,1271,50th_male,mid,mid
39.91250656,-19.28910761,,1271,50th_male,mid,mid
39.91250656,-19.19403543,,1271,50th_male,mid,mid
39.91250656,-19.13699147,,1271,50th_male,mid,mid
39.66509514,-18.67065945,,1271,50th_male,mid,mid
39.66509514,-18.65176837,,1271,50th_male,mid,mid
39.66509514,-18.57620407,,1271,50th_male,mid,mid
39.66509514,-18.55731299,,1271,50th_male,mid,mid
39.66509514,-18.5384252,,1271,50th_male,mid,mid
39.78839567,-18.79883202,,1271,50th_male,mid,mid
39.78839567,-18.79883202,,1271,50th_male,mid,mid
40.16315617,-18.57597113,,1271,50th_male,mid,mid
40.28971457,-18.5711122,,1271,50th_male,mid,mid
40.41711286,-18.54695538,,1271,50th_male,mid,mid
40.41711286,-18.48916667,,1271,50th_male,mid,mid
40.41711286,-18.14240486,,1271,50th_male,mid,mid
40.41711286,-18.06534777,,1271,50th_male,mid,mid
40.41711286,-17.9882874,,1271,50th_male,mid,mid
40.41711286,-17.8919685,,1271,50th_male,mid,mid
40.41711286,-17.81490814,,1271,50th_male,mid,mid
40.41711286,-17.73785105,,1271,50th_male,mid,mid
40.41711286,-17.66079396,,1271,50th_male,mid,mid
40.41711286,-17.66079396,,1271,50th_male,mid,mid
40.41711286,-17.60300197,,1271,50th_male,mid,mid
40.41711286,-17.52594488,,1271,50th_male,mid,mid
40.41711286,-17.4488878,,1271,50th_male,mid,mid
40.41711286,-17.39109252,,1271,50th_male,mid,mid
40.41711286,-17.31403543,,1271,50th_male,mid,mid
40.28971457,-17.22703412,,1271,50th_male,mid,mid
40.28971457,-17.15022638,,1271,50th_male,mid,mid
40.28971457,-17.11182743,,1271,50th_male,mid,mid
40.28971457,-16.99662073,,1271,50th_male,mid,mid
40.28971457,-16.91981955,,1271,50th_male,mid,mid
40.28971457,-16.86221457,,1271,50th_male,mid,mid
40.28971457,-16.82380906,,1271,50th_male,mid,mid
40.28971457,-16.72780512,,1271,50th_male,mid,mid
40.28971457,-16.65099738,,1271,50th_male,mid,mid
40.28971457,-16.55499344,,1271,50th_male,mid,mid
40.28971457,-16.53579396,,1271,50th_male,mid,mid
40.28971457,-16.49739173,,1271,50th_male,mid,mid
40.28971457,-16.32458005,,1271,50th_male,mid,mid
40.28971457,-16.24777559,,1271,50th_male,mid,mid
40.41711286,-16.13890748,,1271,50th_male,mid,mid
40.41711286,-16.11964239,,1271,50th_male,mid,mid
40.54534449,-16.0099836,,1271,50th_male,mid,mid
40.54534449,-15.97133202,,1271,50th_male,mid,mid
40.54534449,-15.85536089,,1271,50th_male,mid,mid
40.67443898,-15.80264108,,1271,50th_male,mid,mid
40.67443898,-15.78324803,,1271,50th_male,mid,mid
40.80438648,-15.51608924,,1271,50th_male,mid,mid
40.80438648,-15.49663058,,1271,50th_male,mid,mid
37.24817585,-8.922988845,,1271,50th_male,mid,mid
37.57447178,-9.088759843,,1271,50th_male,mid,mid
37.57447178,-9.088759843,,1271,50th_male,mid,mid
38.01893045,-9.15191601,,1271,50th_male,mid,mid
38.13177165,-9.172483596,,1271,50th_male,mid,mid
38.13177165,-9.190613517,,1271,50th_male,mid,mid
38.13177165,-9.208743438,,1271,50th_male,mid,mid
38.13177165,-9.208743438,,1271,50th_male,mid,mid
38.13177165,-9.26312664,,1271,50th_male,mid,mid
38.13177165,-9.317516404,,1271,50th_male,mid,mid
38.13177165,-9.371902887,,1271,50th_male,mid,mid
38.13177165,-9.408159449,,1271,50th_male,mid,mid
38.24531824,-9.484143701,,1271,50th_male,mid,mid
38.24531824,-9.538700787,,1271,50th_male,mid,mid
38.35957349,-9.615331365,,1271,50th_male,mid,mid
38.47454396,-9.655839895,,1271,50th_male,mid,mid
38.47454396,-9.67414042,,1271,50th_male,mid,mid
38.70665354,-9.737624672,,1271,50th_male,mid,mid
38.82380906,-9.834324147,,1271,50th_male,mid,mid
38.94170932,-9.968700787,,1271,50th_male,mid,mid
39.06036089,-10.02957021,,1271,50th_male,mid,mid
39.29993766,-10.17118438,,1271,50th_male,mid,mid
39.42086614,-10.27082677,,1271,50th_male,mid,mid
39.54258858,-10.33345472,,1271,50th_male,mid,mid
39.54258858,-10.38994423,,1271,50th_male,mid,mid
39.54258858,-10.42760499,,1271,50th_male,mid,mid
