phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
62,1.082104136,187,15.58333333,87.79118228,165.1111998,7.315931857,13.75926665
63,1.099557429,185,15.41666667,83.98824241,164.836207,6.999020201,13.73635058
64,1.117010721,183,15.25,80.22191991,164.4793105,6.685159992,13.7066092
65,1.134464014,180,15,76.07128708,163.1354017,6.339273923,13.59461681
66,1.151917306,178,14.83333333,72.39912252,162.6110914,6.03326021,13.55092429
67,1.169370599,177,14.75,69.15940972,162.9293591,5.763284143,13.57744659
68,1.186823891,175,14.58333333,65.55615391,162.2571745,5.463012825,13.52143121
69,1.204277184,173,14.41666667,61.99765525,161.5094138,5.166471271,13.45911782
70,1.221730476,172,14.33333333,58.82746472,161.6271308,4.902288726,13.46892756
71,1.239183769,171,14.25,55.6721544,161.6836764,4.6393462,13.4736397
72,1.256637061,169,14.08333333,52.22387212,160.7285512,4.351989343,13.39404594
73,1.274090354,166,13.83333333,48.53370298,158.7465895,4.044475248,13.22888246
74,1.291543646,166,13.83333333,45.75580114,159.5694415,3.812983428,13.29745346
75,1.308996939,168,14,43.48159958,162.2755388,3.623466631,13.52296157
76,1.326450232,173,14.41666667,41.85248786,167.8611607,3.487707321,13.98843006
77,1.343903524,175,14.58333333,39.36643452,170.5147613,3.28053621,14.20956344
78,1.361356817,175,14.58333333,36.38454582,171.1758301,3.032045485,14.26465251
79,1.378810109,153,12.75,29.1937763,150.1889591,2.432814692,12.51574659
80,1.396263402,153,12.75,26.56817112,150.6755862,2.21401426,12.55629885
81,1.413716694,152,12.66666667,23.7780387,150.1286278,1.981503225,12.51071898
82,1.431169987,152,12.66666667,21.15431129,150.5207465,1.762859274,12.54339554
83,1.448623279,152,12.66666667,18.52414022,150.867015,1.543678352,12.57225125
84,1.466076572,379,31.58333333,39.61628746,376.9237984,3.301357288,31.41031653
85,1.483529864,379,31.58333333,33.03202658,377.5577906,2.752668881,31.46314921
86,1.500983157,147,12.25,10.2542016,146.6419154,0.8545168,12.22015962
87,1.518436449,147,12.25,7.693385602,146.7985416,0.641115467,12.2332118
88,1.535889742,147,12.25,5.130225979,146.9104516,0.427518832,12.24253763
89,1.553343034,148,12.33333333,2.582956193,147.9774589,0.215246349,12.33145491
90,1.570796327,175,14.58333333,-3.58931E-08,175,-2.99109E-09,14.58333333
91,1.588249619,175,14.58333333,-3.054171071,174.9733467,-0.254514256,14.58111222
92,1.605702912,175,14.58333333,-6.107411952,174.8933947,-0.508950996,14.57444956
93,1.623156204,174,14.5,-9.106456325,173.7615391,-0.75887136,14.48012825
94,1.640609497,172,14.33333333,-11.99811351,171.5810166,-0.999842792,14.29841805
95,1.658062789,171,14.25,-14.90363194,170.3492934,-1.241969329,14.19577445
96,1.675516082,171,14.25,-17.87436723,170.0632441,-1.489530603,14.17193701
97,1.692969374,171,14.25,-20.83965765,169.7253919,-1.736638137,14.14378266
98,1.710422667,169,14.08333333,-23.52025407,167.3553036,-1.960021172,13.9462753
99,1.727875959,167,13.91666667,-26.12455558,164.9439529,-2.177046299,13.74532941
100,1.745329252,166,13.83333333,-28.82559749,163.478087,-2.402133124,13.62317392
101,1.762782545,163,13.58333333,-31.10186632,160.0052309,-2.591822194,13.33376924
102,1.780235837,160,13.33333333,-33.26587053,156.5036161,-2.772155877,13.04196801
103,1.79768913,156,13,-35.09236455,152.0017301,-2.924363712,12.66681084
104,1.815142422,152,12.66666667,-36.77212812,147.4849504,-3.06434401,12.29041253
105,1.832595715,148,12.33333333,-38.30521873,142.9570223,-3.192101561,11.91308519
106,1.850049007,145,12.08333333,-39.96741658,139.3829459,-3.330618048,11.61524549
107,1.8675023,144,12,-42.10152553,137.7078848,-3.508460461,11.47565707
108,1.884955592,144,12,-44.49844717,136.9521384,-3.708203931,11.4126782
109,1.902408885,143,11.91666667,-46.55624613,135.2091563,-3.879687178,11.26742969
110,1.919862177,143,11.91666667,-48.90888047,134.3760448,-4.075740039,11.19800373
111,1.93731547,143,11.91666667,-51.24661682,133.502001,-4.270551402,11.12516675
112,1.954768762,143,11.91666667,-53.56874283,132.5872912,-4.464061902,11.04894093
113,1.972222055,145,12.08333333,-56.65601366,133.4732037,-4.721334472,11.12276698
114,1.989675347,379,31.58333333,-154.1531876,346.2337285,-12.84609897,28.85281071
115,2.00712864,379,31.58333333,-160.1723213,343.4906513,-13.34769344,28.62422094
116,2.024581932,379,31.58333333,-166.1426645,340.6429436,-13.84522204,28.38691197
117,2.042035225,379,31.58333333,-172.0623995,337.6914726,-14.33853329,28.14095605
118,2.059488517,379,31.58333333,-177.9297222,334.6371378,-14.82747685,27.88642815
119,2.07694181,379,31.58333333,-183.7428461,331.480869,-15.31190384,27.62340575
120,2.094395102,379,31.58333333,-189.4999999,328.2236281,-15.79166666,27.35196901
121,2.111848395,379,31.58333333,-195.1994304,324.8664069,-16.2666192,27.07220058
122,2.129301687,379,31.58333333,-200.839401,321.4102285,-16.73661675,26.78418571
123,2.14675498,379,31.58333333,-206.4181943,317.8561452,-17.20151619,26.4880121
124,2.164208272,379,31.58333333,-211.9341103,314.2052401,-17.66117586,26.18377001
125,2.181661565,379,31.58333333,-217.3854694,310.4586248,-18.11545578,25.87155207
126,2.199114858,379,31.58333333,-222.7706108,306.6174408,-18.56421756,25.5514534
127,2.21656815,379,31.58333333,-228.0878938,302.6828583,-19.00732448,25.22357153
128,2.234021443,379,31.58333333,-233.3356993,298.6560755,-19.44464161,24.88800629
129,2.251474735,379,31.58333333,-238.5124282,294.5383194,-19.87603568,24.54485995
130,2.268928028,379,31.58333333,-243.6165042,290.3308438,-20.30137535,24.19423699
131,2.28638132,379,31.58333333,-248.646372,286.0349309,-20.720531,23.83624424
132,2.303834613,379,31.58333333,-253.6004999,281.6518888,-21.13337499,23.47099073
133,2.321287905,379,31.58333333,-258.4773784,277.183053,-21.53978154,23.09858775
134,2.338741198,379,31.58333333,-263.2755225,272.6297842,-21.93962687,22.71914869
135,2.35619449,379,31.58333333,-267.99347,267.9934701,-22.33278917,22.33278918
136,2.373647783,379,31.58333333,-272.6297844,263.2755223,-22.7191487,21.93962686
137,2.391101075,379,31.58333333,-277.1830529,258.4773785,-23.09858774,21.53978154
138,2.408554368,379,31.58333333,-281.6518889,253.6004997,-23.47099074,21.13337498
139,2.42600766,379,31.58333333,-286.0349308,248.6463721,-23.83624424,20.72053101
140,2.443460953,379,31.58333333,-290.330844,243.616504,-24.194237,20.30137533
141,2.460914245,379,31.58333333,-294.5383193,238.5124283,-24.54485994,19.87603569
142,2.478367538,379,31.58333333,-298.6560757,233.3356991,-24.8880063,19.44464159
143,2.49582083,379,31.58333333,-302.6828582,228.0878939,-25.22357152,19.00732449
144,2.513274123,379,31.58333333,-306.6174409,222.7706106,-25.55145341,18.56421755
145,2.530727415,379,31.58333333,-310.4586247,217.3854695,-25.87155206,18.11545579
