x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
2.261571522,11.7060794,,0000,50th_male,mid,mid
2.48332021,11.50777231,,0000,50th_male,mid,mid
2.508677822,11.50777231,,0000,50th_male,mid,mid
2.944294619,11.57341535,,0000,50th_male,mid,mid
2.944294619,11.57341535,,0000,50th_male,mid,mid
3.147864173,11.57341535,,0000,50th_male,mid,mid
3.173310367,11.57341535,,0000,50th_male,mid,mid
3.590544619,11.18630249,,0000,50th_male,mid,mid
3.590544619,11.18630249,,0000,50th_male,mid,mid
3.817057087,11.63951115,,0000,50th_male,mid,mid
3.817057087,11.63951115,,0000,50th_male,mid,mid
4.04687664,11.63951115,,0000,50th_male,mid,mid
4.04687664,11.63951115,,0000,50th_male,mid,mid
4.182299869,11.50777231,,0000,50th_male,mid,mid
4.182299869,11.50777231,,0000,50th_male,mid,mid
4.486594488,11.50777231,,0000,50th_male,mid,mid
4.486594488,11.50777231,,0000,50th_male,mid,mid
4.989589895,11.77311024,,0000,50th_male,mid,mid
4.989589895,11.77311024,,0000,50th_male,mid,mid
5.33691601,11.8406168,,0000,50th_male,mid,mid
5.41433399,11.8406168,,0000,50th_male,mid,mid
5.741715879,12.04603675,,0000,50th_male,mid,mid
5.741715879,12.04603675,,0000,50th_male,mid,mid
6.018192257,12.11548556,,0000,50th_male,mid,mid
6.070544619,12.11548556,,0000,50th_male,mid,mid
6.437017717,12.11548556,,0000,50th_male,mid,mid
6.437017717,12.11548556,,0000,50th_male,mid,mid
6.6644521,12.18544291,,0000,50th_male,mid,mid
6.716994751,12.18544291,,0000,50th_male,mid,mid
7.032244094,12.18544291,,0000,50th_male,mid,mid
7.032244094,12.18544291,,0000,50th_male,mid,mid
7.163599081,12.18544291,,0000,50th_male,mid,mid
7.268681102,12.18544291,,0000,50th_male,mid,mid
7.684501312,12.25590223,,0000,50th_male,mid,mid
7.684501312,12.25590223,,0000,50th_male,mid,mid
8.027257218,12.25590223,,0000,50th_male,mid,mid
8.027257218,12.25590223,,0000,50th_male,mid,mid
8.602457349,12.54290682,,0000,50th_male,mid,mid
8.602457349,12.54290682,,0000,50th_male,mid,mid
8.843228346,12.54290682,,0000,50th_male,mid,mid
8.843228346,12.54290682,,0000,50th_male,mid,mid
9.138238189,12.61597769,,0000,50th_male,mid,mid
9.138238189,12.61597769,,0000,50th_male,mid,mid
9.406745407,12.61597769,,0000,50th_male,mid,mid
9.406745407,12.61597769,,0000,50th_male,mid,mid
9.809507874,12.61597769,,0000,50th_male,mid,mid
9.809507874,12.61597769,,0000,50th_male,mid,mid
9.963067585,12.47037073,,0000,50th_male,mid,mid
10.01637795,12.47037073,,0000,50th_male,mid,mid
10.29962927,12.32687336,,0000,50th_male,mid,mid
10.29962927,12.32687336,,0000,50th_male,mid,mid
11.03321194,12.76374672,,0000,50th_male,mid,mid
10.99852362,12.68959318,,0000,50th_male,mid,mid
11.18098753,12.39835958,,0000,50th_male,mid,mid
11.18098753,12.39835958,,0000,50th_male,mid,mid
11.59142717,12.68959318,,0000,50th_male,mid,mid
11.59142717,12.68959318,,0000,50th_male,mid,mid
10.99852362,12.68959318,,0000,50th_male,mid,mid
10.99852362,12.68959318,,0000,50th_male,mid,mid
10.56132874,12.61597769,,0000,50th_male,mid,mid
10.56132874,12.61597769,,0000,50th_male,mid,mid
10.79614829,12.54290682,,0000,50th_male,mid,mid
10.79614829,12.54290682,,0000,50th_male,mid,mid
11.15204724,12.61597769,,0000,50th_male,mid,mid
11.15204724,12.61597769,,0000,50th_male,mid,mid
11.44740486,12.61597769,,0000,50th_male,mid,mid
11.44740486,12.61597769,,0000,50th_male,mid,mid
10.24392717,12.68959318,,0000,50th_male,mid,mid
10.24392717,12.68959318,,0000,50th_male,mid,mid
8.413264436,12.61597769,,0000,50th_male,mid,mid
8.413264436,12.61597769,,0000,50th_male,mid,mid
7.94457021,12.32687336,,0000,50th_male,mid,mid
7.94457021,12.32687336,,0000,50th_male,mid,mid
7.510255906,12.11548556,,0000,50th_male,mid,mid
7.510255906,12.11548556,,0000,50th_male,mid,mid
6.294383202,12.39835958,,0000,50th_male,mid,mid
6.294383202,12.39835958,,0000,50th_male,mid,mid
4.812939633,11.63951115,,0000,50th_male,mid,mid
4.710797244,11.63951115,,0000,50th_male,mid,mid
4.710797244,11.63951115,,0000,50th_male,mid,mid
3.568451444,11.7060794,,0000,50th_male,mid,mid
3.568451444,11.7060794,,0000,50th_male,mid,mid
3.337824803,11.7060794,,0000,50th_male,mid,mid
3.337824803,11.7060794,,0000,50th_male,mid,mid
2.712253937,11.97707349,,0000,50th_male,mid,mid
2.712253937,11.97707349,,0000,50th_male,mid,mid
