phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
189,3.298672286,438,36.5,-432.6074932,-68.51829569,-36.05062443,-5.709857974
190,3.316125579,438,36.5,-431.3457958,-76.05790182,-35.94548298,-6.338158485
191,3.333578871,438,36.5,-429.9527064,-83.57433997,-35.8293922,-6.964528331
192,3.351032164,438,36.5,-428.4286491,-91.06532058,-35.70238743,-7.588776715
193,3.368485456,438,36.5,-426.7740884,-98.5285618,-35.56450737,-8.210713483
194,3.385938749,438,36.5,-424.9895281,-105.9617903,-35.41579401,-8.830149192
195,3.403392041,438,36.5,-423.0755119,-113.3627418,-35.25629266,-9.44689515
196,3.420845334,438,36.5,-421.0326228,-120.7291618,-35.0860519,-10.06076348
197,3.438298626,438,36.5,-418.8614831,-128.0588067,-34.90512359,-10.67156723
198,3.455751919,438,36.5,-416.5627541,-135.3494435,-34.71356284,-11.27912029
199,3.473205211,438,36.5,-414.1371361,-142.5988517,-34.51142801,-11.88323764
200,3.490658504,438,36.5,-411.5853679,-149.8048228,-34.29878066,-12.48373523
201,3.508111797,438,36.5,-408.9082268,-156.9651619,-34.07568557,-13.08043016
202,3.525565089,438,36.5,-406.1065283,-164.0776879,-33.84221069,-13.67314066
203,3.543018382,438,36.5,-403.1811258,-171.1402343,-33.59842715,-14.26168619
204,3.560471674,438,36.5,-400.1329104,-178.1506497,-33.3444092,-14.84588748
205,3.577924967,438,36.5,-396.9628107,-185.1067986,-33.08023423,-15.42556655
206,3.595378259,438,36.5,-393.6717923,-192.0065623,-32.80598269,-16.00054686
207,3.612831552,438,36.5,-390.2608576,-198.8478389,-32.52173813,-16.57065324
208,3.630284844,438,36.5,-386.7310457,-205.6285445,-32.22758714,-17.13571204
209,3.647738137,438,36.5,-383.0834317,-212.3466137,-31.92361931,-17.69555114
210,3.665191429,438,36.5,-379.3191269,-219,-31.60992724,-18.25
211,3.682644722,438,36.5,-375.4392777,-225.5866768,-31.28660648,-18.79888973
212,3.700098014,438,36.5,-371.4450661,-232.1046377,-30.95375551,-19.34205314
213,3.717551307,438,36.5,-367.3377088,-238.5518973,-30.61147573,-19.87932478
214,3.735004599,438,36.5,-363.1184568,-244.9264917,-30.2598714,-20.41054098
215,3.752457892,438,36.5,-358.7885954,-251.2264791,-29.89904962,-20.93553993
216,3.769911184,438,36.5,-354.3494435,-257.4499405,-29.52912029,-21.45416171
217,3.787364477,438,36.5,-349.8023534,-263.5949801,-29.15019612,-21.96624834
218,3.804817769,438,36.5,-345.1487101,-269.6597262,-28.76239251,-22.47164385
219,3.822271062,438,36.5,-340.3899311,-275.6423313,-28.36582759,-22.97019428
220,3.839724354,438,36.5,-335.5274661,-281.540973,-27.96062218,-23.46174775
221,3.857177647,438,36.5,-330.5627961,-287.3538547,-27.54689968,-23.94615456
222,3.874630939,438,36.5,-325.4974336,-293.0792056,-27.12478613,-24.42326713
223,3.892084232,438,36.5,-320.3329213,-298.7152817,-26.69441011,-24.89294014
224,3.909537524,438,36.5,-315.0708325,-304.2603663,-26.25590271,-25.35503053
225,3.926990817,438,36.5,-309.7127702,-309.7127702,-25.80939752,-25.80939752
226,3.94444411,438,36.5,-304.2603663,-315.0708325,-25.35503053,-26.25590271
227,3.961897402,438,36.5,-298.7152817,-320.3329213,-24.89294014,-26.69441011
228,3.979350695,438,36.5,-293.0792056,-325.4974336,-24.42326713,-27.12478613
229,3.996803987,438,36.5,-287.3538547,-330.5627961,-23.94615456,-27.54689968
230,4.01425728,438,36.5,-281.540973,-335.5274661,-23.46174775,-27.96062218
231,4.031710572,438,36.5,-275.6423313,-340.3899311,-22.97019428,-28.36582759
232,4.049163865,438,36.5,-269.6597262,-345.1487101,-22.47164385,-28.76239251
233,4.066617157,438,36.5,-263.5949801,-349.8023534,-21.96624834,-29.15019612
234,4.08407045,438,36.5,-257.4499405,-354.3494435,-21.45416171,-29.52912029
235,4.101523742,438,36.5,-251.2264791,-358.7885954,-20.93553993,-29.89904962
236,4.118977035,438,36.5,-244.9264917,-363.1184568,-20.41054098,-30.2598714
237,4.136430327,438,36.5,-238.5518973,-367.3377088,-19.87932478,-30.61147573
238,4.15388362,438,36.5,-232.1046377,-371.4450661,-19.34205314,-30.95375551
239,4.171336912,438,36.5,-225.5866768,-375.4392777,-18.79888973,-31.28660648
240,4.188790205,438,36.5,-219,-379.3191269,-18.25,-31.60992724
241,4.206243497,438,36.5,-212.3466137,-383.0834317,-17.69555114,-31.92361931
242,4.22369679,438,36.5,-205.6285445,-386.7310457,-17.13571204,-32.22758714
243,4.241150082,438,36.5,-198.8478389,-390.2608576,-16.57065324,-32.52173813
244,4.258603375,438,36.5,-192.0065623,-393.6717923,-16.00054686,-32.80598269
245,4.276056667,438,36.5,-185.1067986,-396.9628107,-15.42556655,-33.08023423
246,4.29350996,438,36.5,-178.1506497,-400.1329104,-14.84588748,-33.3444092
247,4.310963252,438,36.5,-171.1402343,-403.1811258,-14.26168619,-33.59842715
248,4.328416545,438,36.5,-164.0776879,-406.1065283,-13.67314066,-33.84221069
249,4.345869837,438,36.5,-156.9651619,-408.9082268,-13.08043016,-34.07568557
250,4.36332313,438,36.5,-149.8048228,-411.5853679,-12.48373523,-34.29878066
251,4.380776423,438,36.5,-142.5988517,-414.1371361,-11.88323764,-34.51142801
252,4.398229715,438,36.5,-135.3494435,-416.5627541,-11.27912029,-34.71356284
253,4.415683008,438,36.5,-128.0588067,-418.8614831,-10.67156723,-34.90512359
254,4.4331363,438,36.5,-120.7291618,-421.0326228,-10.06076348,-35.0860519
255,4.450589593,438,36.5,-113.3627418,-423.0755119,-9.44689515,-35.25629266
256,4.468042885,438,36.5,-105.9617903,-424.9895281,-8.830149192,-35.41579401
257,4.485496178,438,36.5,-98.5285618,-426.7740884,-8.210713483,-35.56450737
258,4.50294947,438,36.5,-91.06532058,-428.4286491,-7.588776715,-35.70238743
259,4.520402763,438,36.5,-83.57433997,-429.9527064,-6.964528331,-35.8293922
260,4.537856055,438,36.5,-76.05790182,-431.3457958,-6.338158485,-35.94548298
261,4.555309348,438,36.5,-68.51829569,-432.6074932,-5.709857974,-36.05062443
262,4.57276264,438,36.5,-60.95781822,-433.7374141,-5.079818185,-36.14478451
263,4.590215933,438,36.5,-53.37877241,-434.7352144,-4.448231034,-36.22793453
264,4.607669225,438,36.5,-45.78346691,-435.6005902,-3.815288909,-36.30004918
265,4.625122518,438,36.5,-38.17421532,-436.3332778,-3.18118461,-36.36110648
266,4.64257581,438,36.5,-30.5533355,-436.933054,-2.546111292,-36.41108783
267,4.660029103,438,36.5,-22.92314883,-437.3997362,-1.910262403,-36.44997802
268,4.677482395,438,36.5,-15.28597956,-437.7331822,-1.27383163,-36.47776518
269,4.694935688,438,36.5,-7.64415402,-437.9332905,-0.637012835,-36.49444088
