x,y,x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
1.77057,7.859894,5.808956693,25.78705381,,0,50th_male,mid,mid
1.849925,7.880812,6.069307743,25.85568241,,0,50th_male,mid,mid
1.919983,7.862917,6.299156824,25.79697178,,0,50th_male,mid,mid
1.984529,7.894251,6.510921916,25.89977362,,0,50th_male,mid,mid
2.066992,7.964214,6.781469816,26.12931102,,0,50th_male,mid,mid
2.080333,7.956512,6.825239501,26.10404199,,0,50th_male,mid,mid
2.244123,8.404947,7.362608268,27.57528543,,0,50th_male,mid,mid
2.282116,8.327561,7.487257218,27.32139436,,0,50th_male,mid,mid
2.36131,8.309458,7.747080052,27.26200131,,0,50th_male,mid,mid
2.423531,8.273534,7.951217192,27.14414042,,0,50th_male,mid,mid
2.411353,8.091543,7.911263123,26.54705709,,0,50th_male,mid,mid
2.445359,7.96825,8.022831365,26.14255249,,0,50th_male,mid,mid
2.531463,7.944168,8.305324803,26.06354331,,0,50th_male,mid,mid
2.613573,7.922579,8.574714567,25.99271325,,0,50th_male,mid,mid
2.726963,7.989119,8.946729003,26.21102034,,0,50th_male,mid,mid
2.79727,8.002727,9.177395013,26.25566601,,0,50th_male,mid,mid
2.835391,7.926517,9.302463911,26.0056332,,0,50th_male,mid,mid
2.849534,7.918352,9.348864829,25.97884514,,0,50th_male,mid,mid
2.950777,8.025005,9.681026903,26.32875656,,0,50th_male,mid,mid
3.01766,7.958345,9.900459318,26.11005577,,0,50th_male,mid,mid
3.136245,7.974668,10.28951772,26.16360892,,0,50th_male,mid,mid
3.238314,7.915737,10.62438976,25.97026575,,0,50th_male,mid,mid
3.354,7.906572,11.00393701,25.94019685,,0,50th_male,mid,mid
3.538872,7.947926,11.61047244,26.0758727,,0,50th_male,mid,mid
3.690477,8.014502,12.10786417,26.2942979,,0,50th_male,mid,mid
3.726159,7.993901,12.2249311,26.22670932,,0,50th_male,mid,mid
3.780913,7.993865,12.40457021,26.22659121,,0,50th_male,mid,mid
3.801386,7.982045,12.47173885,26.18781168,,0,50th_male,mid,mid
3.837214,7.96136,12.58928478,26.11994751,,0,50th_male,mid,mid
3.837214,7.96136,12.58928478,26.11994751,,0,50th_male,mid,mid
3.693598,7.681579,12.11810367,25.20203084,,0,50th_male,mid,mid
3.703357,7.675945,12.15012139,25.18354659,,0,50th_male,mid,mid
3.759721,7.586223,12.33504265,24.88918307,,0,50th_male,mid,mid
3.814103,7.526563,12.51346129,24.69344816,,0,50th_male,mid,mid
3.924337,7.491181,12.87512139,24.57736549,,0,50th_male,mid,mid
4.011487,7.440865,13.16104659,24.41228675,,0,50th_male,mid,mid
4.093796,7.393344,13.43108924,24.25637795,,0,50th_male,mid,mid
4.246058,7.420695,13.93063648,24.3461122,,0,50th_male,mid,mid
4.309987,7.383786,14.1403773,24.22501969,,0,50th_male,mid,mid
4.37991,7.372799,14.36978346,24.1889731,,0,50th_male,mid,mid
4.384847,7.369949,14.38598097,24.1796227,,0,50th_male,mid,mid
4.410734,7.384618,14.47091207,24.22774934,,0,50th_male,mid,mid
4.501516,7.362055,14.76875328,24.15372375,,0,50th_male,mid,mid
4.620049,7.354033,15.15764108,24.12740486,,0,50th_male,mid,mid
4.710337,7.301906,15.45386155,23.95638451,,0,50th_male,mid,mid
4.770528,7.267155,15.65133858,23.84237205,,0,50th_male,mid,mid
4.775544,7.264258,15.66779528,23.83286745,,0,50th_male,mid,mid
5.22459,7.776289,17.14104331,25.51275919,,0,50th_male,mid,mid
5.318318,7.759271,17.44854987,25.45692585,,0,50th_male,mid,mid
5.324334,7.645483,17.4682874,25.08360564,,0,50th_male,mid,mid
5.395521,7.604383,17.70184055,24.94876312,,0,50th_male,mid,mid
5.373319,7.439632,17.62899934,24.40824147,,0,50th_male,mid,mid
5.253246,7.272736,17.23505906,23.86068241,,0,50th_male,mid,mid
5.239628,7.151675,17.19038058,23.46350066,,0,50th_male,mid,mid
5.311285,7.110304,17.42547572,23.32776903,,0,50th_male,mid,mid
5.455773,7.123176,17.89951772,23.37,,0,50th_male,mid,mid
5.56459,7.06035,18.25652887,23.16387795,,0,50th_male,mid,mid
5.59987,7.00762,18.3722769,22.99087927,,0,50th_male,mid,mid
5.614304,6.967191,18.41963255,22.85823819,,0,50th_male,mid,mid
5.700725,7.014383,18.70316601,23.01306759,,0,50th_male,mid,mid
5.742351,6.99035,18.83973425,22.93421916,,0,50th_male,mid,mid
5.820399,6.945289,19.09579724,22.78638123,,0,50th_male,mid,mid
5.873372,6.849712,19.26959318,22.4728084,,0,50th_male,mid,mid
5.981741,6.787146,19.62513451,22.26753937,,0,50th_male,mid,mid
6.101375,6.783068,20.01763451,22.2541601,,0,50th_male,mid,mid
6.328417,6.853599,20.76252297,22.48556102,,0,50th_male,mid,mid
6.567354,6.927825,21.54643701,22.72908465,,0,50th_male,mid,mid
6.819151,7.006047,22.37254265,22.9857185,,0,50th_male,mid,mid
6.994675,7.060573,22.94840879,23.16460958,,0,50th_male,mid,mid
4.146443,7.698185,13.60381562,25.25651247,,0,50th_male,mid,mid
4.157051,7.679811,13.63861877,25.19623031,,0,50th_male,mid,mid
4.194179,7.615503,13.76042979,24.98524606,,0,50th_male,mid,mid
4.259999,7.590609,13.97637467,24.90357283,,0,50th_male,mid,mid
4.34833,7.52805,14.26617454,24.69832677,,0,50th_male,mid,mid
4.432561,7.473949,14.54252297,24.52083005,,0,50th_male,mid,mid
4.544302,7.468174,14.9091273,24.5018832,,0,50th_male,mid,mid
4.637326,7.451669,15.21432415,24.44773294,,0,50th_male,mid,mid
4.738155,7.425018,15.54512795,24.36029528,,0,50th_male,mid,mid
4.792087,7.381708,15.72207021,24.2182021,,0,50th_male,mid,mid
4.930706,7.450636,16.17685696,24.44434383,,0,50th_male,mid,mid
4.962561,7.395462,16.28136811,24.26332677,,0,50th_male,mid,mid
5.411418,7.89024,17.75399606,25.88661417,,0,50th_male,mid,mid
5.4883,7.885015,18.0062336,25.86947178,,0,50th_male,mid,mid
5.592412,7.834913,18.3478084,25.70509514,,0,50th_male,mid,mid
5.688612,7.800851,18.6634252,25.59334318,,0,50th_male,mid,mid
5.533653,7.490775,18.15502953,24.57603346,,0,50th_male,mid,mid
5.405344,7.293329,17.73406824,23.92824475,,0,50th_male,mid,mid
5.450973,7.214297,17.88376969,23.66895341,,0,50th_male,mid,mid
5.616499,7.224795,18.42683399,23.70339567,,0,50th_male,mid,mid
5.676675,7.181547,18.62426181,23.56150591,,0,50th_male,mid,mid
5.724834,7.159639,18.78226378,23.48962927,,0,50th_male,mid,mid
5.793959,7.164529,19.00905184,23.50567257,,0,50th_male,mid,mid
5.812929,7.131674,19.07128937,23.39788058,,0,50th_male,mid,mid
5.971294,7.113267,19.59085958,23.33749016,,0,50th_male,mid,mid
6.109302,7.072195,20.04364173,23.2027395,,0,50th_male,mid,mid
6.200908,6.980711,20.34418635,22.90259514,,0,50th_male,mid,mid
6.354571,6.919808,20.84833005,22.70278215,,0,50th_male,mid,mid
6.631812,7.015604,21.75791339,23.01707349,,0,50th_male,mid,mid
6.796077,7.035854,22.29684055,23.0835105,,0,50th_male,mid,mid
6.912827,7.070099,22.67987861,23.19586286,,0,50th_male,mid,mid
5.744088,5.583652,18.84543307,18.31906824,,0,50th_male,mid,mid
5.730444,5.509758,18.80066929,18.07663386,,0,50th_male,mid,mid
5.710366,5.401015,18.73479659,17.71986549,,0,50th_male,mid,mid
5.668088,5.287887,18.59608924,17.34871063,,0,50th_male,mid,mid
5.564149,5.15483,18.25508202,16.91217192,,0,50th_male,mid,mid
