x (m),y (m),x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
2.414536,4.401105,7.92170629,14.43932133,,0000,50th_male,mid,mid
2.589846,4.402319,8.496870351,14.44330427,,0000,50th_male,mid,mid
2.903927,4.434117,9.527319859,14.54762842,,0000,50th_male,mid,mid
3.06308,4.287879,10.04947539,14.06784494,,0000,50th_male,mid,mid
3.273003,4.331966,10.73819916,14.21248733,,0000,50th_male,mid,mid
3.496197,4.434316,11.47046297,14.54828131,,0000,50th_male,mid,mid
3.211718,3.792089,10.53713288,12.44123727,,0000,50th_male,mid,mid
3.321265,3.827381,10.89653906,12.55702468,,0000,50th_male,mid,mid
3.514961,3.71555,11.53202465,12.19012506,,0000,50th_male,mid,mid
3.644092,3.640997,11.9556828,11.9455286,,0000,50th_male,mid,mid
3.819801,3.589775,12.53215591,11.77747741,,0000,50th_male,mid,mid
4.005317,3.585095,13.14080423,11.76212308,,0000,50th_male,mid,mid
4.128759,3.513826,13.54579768,11.52830089,,0000,50th_male,mid,mid
4.260431,3.437805,13.97779244,11.27888816,,0000,50th_male,mid,mid
4.609439,3.851434,15.12283185,12.63593872,,0000,50th_male,mid,mid
4.644917,3.830951,15.23922949,12.56873728,,0000,50th_male,mid,mid
4.76909,3.759259,15.64662124,12.3335273,,0000,50th_male,mid,mid
4.621049,3.334753,15.1609224,10.94079103,,0000,50th_male,mid,mid
4.671906,3.200241,15.32777608,10.49947868,,0000,50th_male,mid,mid
4.866166,3.140311,15.96511206,10.30285794,,0000,50th_male,mid,mid
5.094595,3.114983,16.71455106,10.21976083,,0000,50th_male,mid,mid
5.197519,2.949004,17.05222824,9.675210283,,0000,50th_male,mid,mid
5.32254,2.722168,17.46240213,8.930997661,,0000,50th_male,mid,mid
5.32254,2.722168,17.46240213,8.930997661,,0000,50th_male,mid,mid
5.315014,2.626705,17.43771053,8.617798832,,0000,50th_male,mid,mid
5.595143,2.719436,18.35676896,8.922034406,,0000,50th_male,mid,mid
5.880816,2.882953,19.29401637,9.458507521,,0000,50th_male,mid,mid
6.402411,3.128652,21.00528611,10.26460663,,0000,50th_male,mid,mid
7.053774,3.527514,23.14230389,11.57320903,,0000,50th_male,mid,mid
7.527422,3.736898,24.69626719,12.26016443,,0000,50th_male,mid,mid
7.59867,3.780991,24.93002048,12.40482651,,0000,50th_male,mid,mid
4.840122,1.394636,15.87966586,4.575577574,,0000,50th_male,mid,mid
4.79028,1.267951,15.71614224,4.159944359,,0000,50th_male,mid,mid
4.755149,1.140378,15.60088305,3.741397758,,0000,50th_male,mid,mid
4.665768,0.96989,15.30763829,3.182053908,,0000,50th_male,mid,mid
4.672821,0.860928,15.33077805,2.82456702,,0000,50th_male,mid,mid
4.598936,0.729064,15.08837319,2.391942334,,0000,50th_male,mid,mid
4.607921,0.699834,15.11785153,2.296043381,,0000,50th_male,mid,mid
-2.603618,4.551153,-8.542054079,14.93160481,,0000,50th_male,mid,mid
-2.457309,4.298307,-8.06203766,14.10205754,,0000,50th_male,mid,mid
-2.214528,3.952615,-7.265512044,12.9678974,,0000,50th_male,mid,mid
