x,y,x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
2.167423,3.089311,7.110967848,10.13553478,,0000,50th_male,mid,mid
2.2551,3.092186,7.398622047,10.14496719,,0000,50th_male,mid,mid
2.344284,3.09511,7.691220472,10.15456037,,0000,50th_male,mid,mid
2.434937,3.070331,7.988638451,10.07326444,,0000,50th_male,mid,mid
2.535706,3.096276,8.319245407,10.15838583,,0000,50th_male,mid,mid
2.638174,3.094433,8.655426509,10.15233924,,0000,50th_male,mid,mid
2.752482,3.116334,9.030452756,10.22419291,,0000,50th_male,mid,mid
2.850571,3.119622,9.35226706,10.23498031,,0000,50th_male,mid,mid
2.950445,3.12297,9.679937664,10.24596457,,0000,50th_male,mid,mid
3.049252,3.096846,10.00410761,10.16025591,,0000,50th_male,mid,mid
3.161182,3.094924,10.37133202,10.15395013,,0000,50th_male,mid,mid
3.262339,3.068308,10.70321194,10.0666273,,0000,50th_male,mid,mid
3.373362,3.036291,11.06746063,9.961584646,,0000,50th_male,mid,mid
3.476456,3.009151,11.40569554,9.872542651,,0000,50th_male,mid,mid
3.589528,2.976555,11.77666667,9.765600394,,0000,50th_male,mid,mid
3.694616,2.948877,12.12144357,9.674793307,,0000,50th_male,mid,mid
3.794172,2.891398,12.44807087,9.486213911,,0000,50th_male,mid,mid
3.90073,2.863185,12.7976706,9.393651575,,0000,50th_male,mid,mid
4.017439,2.829427,13.18057415,9.282896982,,0000,50th_male,mid,mid
4.135266,2.795346,13.56714567,9.171082677,,0000,50th_male,mid,mid
4.144447,2.790046,13.59726706,9.153694226,,0000,50th_male,mid,mid
4.237189,2.66893,13.90153871,8.756332021,,0000,50th_male,mid,mid
4.328124,2.616429,14.19988189,8.584084646,,0000,50th_male,mid,mid
4.428596,2.592045,14.52951444,8.504084646,,0000,50th_male,mid,mid
4.669341,2.521273,15.31936024,8.271893045,,0000,50th_male,mid,mid
4.678566,2.515947,15.34962598,8.254419291,,0000,50th_male,mid,mid
4.780037,2.457362,15.68253609,8.062211286,,0000,50th_male,mid,mid
4.893421,2.426505,16.05453084,7.960974409,,0000,50th_male,mid,mid
4.995384,2.367637,16.38905512,7.767837927,,0000,50th_male,mid,mid
5.066004,2.292259,16.62074803,7.520534777,,0000,50th_male,mid,mid
5.135948,2.217603,16.8502231,7.275600394,,0000,50th_male,mid,mid
5.236934,2.159299,17.18154199,7.084314304,,0000,50th_male,mid,mid
5.337921,2.100994,17.51286417,6.893024934,,0000,50th_male,mid,mid
5.438906,2.04269,17.84417979,6.701738845,,0000,50th_male,mid,mid
5.539893,1.984385,18.17550197,6.510449475,,0000,50th_male,mid,mid
5.656387,1.951401,18.55770013,6.402234252,,0000,50th_male,mid,mid
5.774008,1.918099,18.9435958,6.292975722,,0000,50th_male,mid,mid
5.89277,1.884473,19.33323491,6.182654199,,0000,50th_male,mid,mid
6.152604,1.805369,20.18570866,5.92312664,,0000,50th_male,mid,mid
6.265472,1.740205,20.5560105,5.70933399,,0000,50th_male,mid,mid
6.321907,1.707622,20.7411647,5.602434383,,0000,50th_male,mid,mid
1.11315,2.950305,3.652066929,9.679478346,,0000,50th_male,mid,mid
1.165548,2.940714,3.823976378,9.648011811,,0000,50th_male,mid,mid
1.235465,2.942135,4.053362861,9.652673885,,0000,50th_male,mid,mid
1.330417,2.99459,4.364885171,9.824770341,,0000,50th_male,mid,mid
1.418313,2.987914,4.653257874,9.802867454,,0000,50th_male,mid,mid
