x (ft),y (ft)
46.70874016,106.9543373
46.70874016,106.9543373
49.0079101,110.6693996
49.10206037,110.6693996
50.74024934,112.6182349
50.74024934,112.6182349
51.31435039,112.6182349
51.41004265,112.6182349
51.50572507,112.6182349
51.60141076,112.6182349
51.79277887,112.6182349
52.0798294,112.6182349
52.0798294,112.6182349
52.8453084,112.6182349
52.94098425,112.6182349
52.20875656,110.6693996
52.30290354,110.6693996
52.67947507,110.6693996
52.86776247,110.6693996
53.24433727,110.6693996
53.52676181,110.6693996
53.80919619,110.6693996
54.09161745,110.6693996
53.81609252,108.7825131
53.90875,108.7825131
54.0940584,108.7825131
53.54908793,106.9543373
53.54908793,106.9543373
53.38009186,105.1823425
53.82910761,105.1823425
54.18832677,105.1823425
54.27812992,105.1823425
54.99655184,105.1823425
55.17616798,105.1823425
57.47088583,106.9543373
57.74451115,106.9543373
58.10932087,106.9543373
58.29174213,106.9543373
58.29174213,106.9543373
59.46777559,108.7825131
59.83838911,108.7825131
184.5687959,603.2966765
245.6397966,805.349626
452.6547802,1445.863579
453.8047966,1445.863579
766.2145866,2389.625889
770.0075558,2389.625889
29549.63424,90422.11337
29692.66796,90422.11337
30336.34697,90422.11337
30622.42723,90422.11337
30622.42723,90422.11337
31266.10303,90422.11337
31409.13996,90422.11337
2401.402992,6823.398862
1259.855335,3541.611398
866.7303576,2389.625889
660.518084,1802.137881
448.6464469,1206.740732
386.3515879,1035.159554
343.811857,906.0394619
343.811857,906.0394619
307.4207218,805.349626
254.8720636,658.4943438
254.8720636,658.4943438
188.4839928,481.6269554
166.9495636,424.256063
149.6230282,378.9116273
123.9784252,311.7984613
99.14015748,245.7435499
92.86618438,229.3919652
78.42065289,190.9216043
76.40459318,185.6887762
67.72746063,163.1667684
66.22822507,159.2754003
56.30727362,133.5249803
55.16727362,130.8518373
55.16727362,130.8518373
50.35816273,118.8672441
49.43462927,116.713668
48.63919619,114.6319783
48.63919619,114.6319783
136.8886581,451.15854
115.624813,378.9116273
81.73788714,264.5093799
76.22954068,245.7435499
65.28670932,208.4636188
60.13758202,190.9216043
51.11361549,159.2754003
47.11948163,145.329252
42.94565617,130.8518373
42.1819521,128.2777953
39.49052493,118.8672441
38.23059055,114.6319783
37.14591535,110.6693996
37.14591535,110.6693996
3.124284777,221.9814403
3.124284777,221.9814403
3.081811024,190.9216043
3.119747375,176.0055151
3.119747375,176.0055151
3.214967192,155.5570341
3.238277559,145.329252
3.237549213,116.713668
3.185255906,112.6182349
3.134206037,101.7970308
3.11226378,100.1788812
3.03058727,94.15539042
2.975042651,90.05900262
2.876279528,82.77560696
2.861223753,81.66530184
2.861223753,81.66530184
2.791128609,76.49587598
2.765295276,74.59064304
2.896512467,74.59064304
2.896512467,74.59064304
3.618208661,74.59064304
3.683818898,74.59064304
3.946256562,74.59064304
3.946256562,74.59064304
4.304199475,75.53249672
4.436909449,75.53249672
4.938832021,76.49587598
4.938832021,76.49587598
5.248730315,77.48173228
5.316624016,77.48173228
5.927683727,77.48173228
5.995577428,77.48173228
6.063474409,77.48173228
6.335055774,77.48173228
6.596315617,78.49077428
